ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
201816_s_at	2058.094	P	0.000244141
201817_at	1034.681	P	0.000244141
201818_at	1257.771	P	0.0185547
201819_at	77.71835	A	0.432373
201820_at	43.48856	A	0.72583
201821_s_at	3110.651	P	0.000244141
201822_at	146.0583	A	0.067627
201823_s_at	2027.991	P	0.000244141
201824_at	2166.215	P	0.00195313
201825_s_at	82.6611	A	0.398926
201826_s_at	125.7028	P	0.0302734
201827_at	771.162	P	0.00195313
201828_x_at	1090.1	P	0.0012207
201829_at	275.8683	P	0.00415039
201830_s_at	277.2802	P	0.00585938
201831_s_at	5592.702	P	0.0012207
201832_s_at	8421.375	P	0.000244141
201833_at	2823.811	P	0.000732422
201834_at	420.657	P	0.00292969
201835_s_at	300.9474	P	0.0185547
201836_s_at	482.0758	P	0.00292969
201837_s_at	1532.253	P	0.000244141
201838_s_at	263.3859	P	0.00805664
201839_s_at	10.72448	A	0.633789
201840_at	5252.005	P	0.0012207
201841_s_at	2092.745	P	0.00585938
201842_s_at	224.0602	M	0.0561523
201843_s_at	39.28597	A	0.0952148
201844_s_at	2358.013	P	0.00585938
201845_s_at	3392.066	P	0.000244141
201846_s_at	1812.409	P	0.000244141
201847_at	3603.621	P	0.000244141
201848_s_at	145.6002	A	0.0952148
201849_at	92.17358	P	0.0375977
201850_at	384.3166	P	0.00195313
201851_at	389.3681	A	0.129639
201852_x_at	83.98772	A	0.432373
201853_s_at	638.1147	P	0.0012207
201854_s_at	1344.643	P	0.000732422
201855_s_at	1874.89	P	0.000244141
201856_s_at	632.4558	P	0.00195313
201857_at	6033.176	P	0.000244141
201858_s_at	19061.61	P	0.000244141
201859_at	44642.62	P	0.000244141
201860_s_at	90.1391	P	0.0107422
201861_s_at	2086.819	P	0.000732422
201862_s_at	3239.068	P	0.000244141
201863_at	2089.224	P	0.000732422
201864_at	5388.405	P	0.000244141
201865_x_at	6079.608	P	0.000244141
201866_s_at	842.7919	P	0.0239258
201867_s_at	413.1904	P	0.0239258
201868_s_at	188.2522	A	0.0805664
201869_s_at	381.3006	A	0.067627
201870_at	418.6324	P	0.0185547
201871_s_at	949.7039	P	0.00805664
201872_s_at	2465.035	P	0.000244141
201873_s_at	1894.544	P	0.000244141
201874_at	1318.955	P	0.000244141
201875_s_at	773.0094	P	0.0012207
201876_at	2679.353	P	0.000732422
201877_s_at	2715.153	P	0.000244141
201878_at	780.7503	P	0.00195313
201879_at	895.1614	P	0.0141602
201880_at	2270.544	P	0.000732422
201881_s_at	1191.847	P	0.00195313
201882_x_at	29.9424	A	0.753906
201883_s_at	627.5058	P	0.0107422
201884_at	82.10906	A	0.171387
201885_s_at	3595.609	P	0.00292969
201886_at	581.926	P	0.000244141
201887_at	444.7437	P	0.000244141
201888_s_at	184.6502	P	0.00292969
201889_at	27614.2	P	0.000244141
201890_at	3316.492	P	0.000244141
201891_s_at	93181.17	P	0.000244141
201892_s_at	5261.314	P	0.000244141
201893_x_at	180.7023	A	0.246094
201894_s_at	5240.959	P	0.000244141
201895_at	1421.595	P	0.00585938
201896_s_at	203.652	A	0.19458
201897_s_at	1002.207	P	0.000244141
201898_s_at	1807.233	P	0.000732422
201899_s_at	3111.643	P	0.000732422
201900_s_at	8881.666	P	0.000244141
201901_s_at	3668.312	P	0.000244141
201902_s_at	143.2248	A	0.633789
201903_at	1929.476	P	0.000732422
201904_s_at	20.65082	A	0.80542
201905_s_at	96.60599	A	0.303711
201906_s_at	112.0843	A	0.334473
201907_x_at	274.9323	A	0.149658
201908_at	730.3854	P	0.0012207
201909_at	116.5855	A	0.246094
201910_at	269.4291	A	0.27417
201911_s_at	12.45386	A	0.8452148
201912_s_at	2129.601	P	0.000244141
201913_s_at	997.1024	P	0.0107422
201914_s_at	5819.175	P	0.000244141
201915_at	486.7242	P	0.00292969
201916_s_at	5326.86	P	0.000244141
201917_s_at	3915.083	P	0.000732422
201918_at	3633.176	P	0.000244141
201919_at	4403.332	P	0.000244141
201920_at	925.037	P	0.000244141
201921_at	4110.173	P	0.000244141
201922_at	22208.91	P	0.000244141
201923_at	28417.18	P	0.000244141
201924_at	4036.166	P	0.000244141
201925_s_at	748.2747	P	0.000244141
201926_s_at	1667.742	P	0.000244141
201927_s_at	19.09315	A	0.5
201928_at	805.7593	P	0.000244141
201929_s_at	188.4122	P	0.00292969
201930_at	2398.477	P	0.00195313
201931_at	6812.624	P	0.000244141
201932_at	675.8907	P	0.0185547
201933_at	445.0645	P	0.0461426
201934_at	6149.281	P	0.00415039
201935_s_at	1338.486	P	0.000244141
201936_s_at	854.3372	P	0.00195313
201937_s_at	641.9691	P	0.0185547
201938_at	1584.622	P	0.000244141
201939_at	316.1766	P	0.0012207
201940_at	550.0306	P	0.000244141
201941_at	495.7296	P	0.000244141
201942_s_at	143.4755	A	0.067627
201943_s_at	600.9233	P	0.0185547
201944_at	11983.87	P	0.000244141
201945_at	373.5651	A	0.0952148
201946_s_at	2910.236	P	0.000244141
201947_s_at	8855.327	P	0.000244141
201948_at	2181.285	P	0.000244141
201949_x_at	2664.527	P	0.00805664
201950_x_at	1905.423	P	0.000244141
201951_at	690.1176	P	0.000732422
201952_at	1955.461	P	0.0185547
201953_at	1816.405	P	0.000732422
201954_at	2000.357	P	0.00195313
201955_at	13877.67	P	0.000244141
201956_s_at	2488.424	P	0.000244141
201957_at	243.6154	A	0.111572
201958_s_at	8.787821	A	0.932373
201959_s_at	4149.234	P	0.000732422
201960_s_at	7977.341	P	0.000244141
201961_s_at	356.7566	M	0.0561523
201962_s_at	319.1361	P	0.0302734
201963_at	476.0837	P	0.0141602
201964_at	3623.823	P	0.000244141
201965_s_at	1729.846	P	0.0302734
201966_at	2728.025	P	0.000732422
201967_at	2431.266	P	0.000244141
201968_s_at	3602.883	P	0.000732422
201969_at	151.3983	M	0.0561523
201970_s_at	1522.848	P	0.0012207
201971_s_at	982.1702	P	0.000244141
201972_at	10578.64	P	0.000732422
201973_s_at	6370.518	P	0.0012207
201974_s_at	122.2281	A	0.246094
201975_at	1274.534	P	0.0012207
201976_s_at	9.167082	A	0.696289
201977_s_at	772.0088	P	0.000244141
201978_s_at	1532.261	P	0.0012207
201979_s_at	368.9681	A	0.27417
201980_s_at	1532.381	P	0.000244141
201981_at	76.2177	A	0.366211
201982_s_at	56.69668	A	0.601074
201983_s_at	7.963603	A	0.943848
201984_s_at	180.479	M	0.0561523
201985_at	847.3575	P	0.000732422
201986_at	1303.418	P	0.000732422
201987_at	4994.969	P	0.00292969
201988_s_at	996.5973	P	0.0239258
201989_s_at	3584.975	P	0.000244141
201990_s_at	2665.998	P	0.000244141
201991_s_at	5030.767	P	0.000244141
201992_s_at	753.1919	P	0.0141602
201993_x_at	7983.988	P	0.000244141
201994_at	18672.14	P	0.000244141
201995_at	453.7033	P	0.000244141
201996_s_at	936.3557	P	0.000244141
201997_s_at	2446.527	P	0.000244141
201998_at	5275.561	P	0.000244141
201999_s_at	6199.962	P	0.000244141
202000_at	714.6274	P	0.00195313
202001_s_at	6201.299	P	0.000244141
202002_at	311.6406	A	0.111572
202003_s_at	1717.159	P	0.000244141
202004_x_at	1402.627	P	0.00805664
202005_at	34.6272	A	0.72583
202006_at	990.5814	P	0.000732422
202007_at	4.447464	A	0.969727
202008_s_at	82.60242	A	0.246094
202009_at	466.4395	P	0.0461426
202010_s_at	1265.45	P	0.000732422
202011_at	782.6896	P	0.000732422
202012_s_at	2503.103	P	0.0012207
202013_s_at	644.4156	P	0.000732422
202014_at	1411.99	P	0.000244141
202015_x_at	5.322751	A	0.303711
202016_at	249.6521	P	0.00805664
202017_at	695.2153	A	0.0805664
202018_s_at	480.6586	P	0.0461426
202019_s_at	256.1429	A	0.067627
202020_s_at	2059.652	P	0.000244141
202021_x_at	15886.34	P	0.000244141
202022_at	833.9022	P	0.0141602
202023_at	21.24083	A	0.932373
202024_at	1161.278	P	0.000244141
202025_x_at	1168.24	P	0.00585938
202026_at	8088.863	P	0.000244141
202027_at	5110.759	M	0.0561523
202028_s_at	8872.864	P	0.000244141
202029_x_at	37872.19	P	0.000244141
202030_at	783.6901	A	0.0952148
202031_s_at	1241.73	P	0.00292969
202032_s_at	777.8782	P	0.0107422
202033_s_at	2156.698	P	0.000244141
202034_x_at	2361.903	P	0.000732422
202035_s_at	11.58134	A	0.601074
202036_s_at	80.38037	M	0.0561523
202037_s_at	146.0521	A	0.067627
202038_at	6703.76	P	0.000244141
202039_at	826.9345	P	0.000732422
202040_s_at	1036.714	P	0.000244141
202041_s_at	2147.699	P	0.000732422
202042_at	3315.885	P	0.000244141
202043_s_at	467.2446	P	0.0012207
202044_at	40.82265	A	0.334473
202045_s_at	287.6149	M	0.0561523
202046_s_at	208.5793	P	0.0141602
202047_s_at	927.4104	P	0.00292969
202048_s_at	991.2599	A	0.0952148
202049_s_at	480.7846	P	0.000244141
202050_s_at	550.668	P	0.000244141
202051_s_at	833.6233	P	0.000244141
202052_s_at	3.76474	A	0.969727
202053_s_at	2542.409	P	0.000244141
202054_s_at	2074.618	P	0.00195313
202055_at	804.9211	P	0.0185547
202056_at	1082.421	P	0.000244141
202057_at	288.0415	P	0.0141602
202058_s_at	669.6877	P	0.000244141
202059_s_at	1314.959	P	0.00585938
202060_at	5225.558	P	0.000244141
202061_s_at	18164.48	P	0.000244141
202062_s_at	3113.692	P	0.000732422
202063_s_at	1096.324	P	0.0239258
202064_s_at	1768.259	P	0.00415039
202065_s_at	218.5842	A	0.19458
202066_at	2062.603	P	0.000244141
202067_s_at	140.8127	A	0.366211
202068_s_at	437.0282	P	0.000244141
202069_s_at	4231.137	P	0.000244141
202070_s_at	3362.443	P	0.000244141
202071_at	53.18465	A	0.303711
202072_at	457.8853	A	0.111572
202073_at	1090.849	P	0.000244141
202074_s_at	2535.897	P	0.000244141
202075_s_at	114.2054	A	0.171387
202076_at	7373.791	P	0.000244141
202077_at	14151.35	P	0.000244141
202078_at	1604.65	P	0.000244141
202079_s_at	274.0576	A	0.149658
202080_s_at	715.0969	A	0.0805664
202081_at	38019.2	P	0.000244141
202082_s_at	3431.879	P	0.000244141
202083_s_at	3807.771	P	0.000732422
202084_s_at	7232.968	P	0.000732422
202085_at	464.1906	P	0.000244141
202086_at	44361.74	P	0.000244141
202087_s_at	1428.865	P	0.00195313
202088_at	4839.713	P	0.000244141
202089_s_at	1267.771	P	0.000244141
202090_s_at	10394.78	P	0.000244141
202091_at	135.6035	P	0.0302734
202092_s_at	1079.219	P	0.0302734
202093_s_at	1070.491	P	0.0461426
202094_at	119.4514	A	0.398926
202095_s_at	195.5383	M	0.0561523
202096_s_at	560.9371	A	0.129639
202097_at	1332.813	P	0.000244141
202098_s_at	475.6565	A	0.171387
202099_s_at	191.3781	A	0.334473
202100_at	1448.52	P	0.00195313
202101_s_at	495.1957	P	0.00292969
202102_s_at	1474.722	P	0.000732422
202103_at	290.9767	P	0.0302734
202104_s_at	661.8005	P	0.0012207
202105_at	4271.687	P	0.000732422
202106_at	1458.433	P	0.000244141
202107_s_at	542.4946	P	0.00805664
202108_at	935.1177	P	0.0107422
202109_at	1515.765	P	0.000732422
202110_at	7370.554	P	0.000244141
202111_at	157.6157	A	0.19458
202112_at	75.77215	A	0.5
202113_s_at	3418.981	P	0.000244141
202114_at	2525.304	P	0.000732422
202115_s_at	870.9019	P	0.00805664
202116_at	1853.639	P	0.000732422
202117_at	3988.391	P	0.000244141
202118_s_at	1234.08	P	0.000244141
202119_s_at	2461.414	P	0.0012207
202120_x_at	1514.902	P	0.00292969
202121_s_at	5558.727	P	0.000244141
202122_s_at	856.3591	A	0.27417
202123_s_at	763.1179	P	0.00195313
202124_s_at	481.1017	P	0.000244141
202125_s_at	986.0901	P	0.00415039
202126_at	2553.254	P	0.000244141
202127_at	767.0618	P	0.000244141
202128_at	686.0764	P	0.000732422
202129_s_at	625.6465	P	0.00195313
202130_at	3437.814	P	0.000244141
202131_s_at	1205.689	P	0.00805664
202132_at	48.0898	A	0.466064
202133_at	23.67055	A	0.432373
202134_s_at	35.42685	A	0.850342
202135_s_at	697.5248	P	0.0141602
202136_at	3767.767	P	0.000244141
202137_s_at	400.2411	A	0.0952148
202138_x_at	1048.388	P	0.000732422
202139_at	726.4922	P	0.000244141
202140_s_at	872.3262	P	0.000244141
202141_s_at	4073.363	P	0.000244141
202142_at	1247.403	P	0.00415039
202143_s_at	1115.333	P	0.000244141
202144_s_at	3627.083	P	0.0239258
202145_at	2673.117	P	0.000732422
202146_at	1885.147	P	0.000732422
202147_s_at	723.4271	P	0.00195313
202148_s_at	865.9163	P	0.0141602
202149_at	2193.108	P	0.000244141
202150_s_at	444.2375	P	0.0239258
202151_s_at	913.3332	A	0.0952148
202152_x_at	2834.244	P	0.0239258
202153_s_at	756.4761	P	0.00805664
202154_x_at	1418.904	P	0.0185547
202155_s_at	966.9812	P	0.0302734
202156_s_at	610.007	P	0.00292969
202157_s_at	6461.251	P	0.000244141
202158_s_at	1088.617	P	0.000244141
202159_at	645.4633	M	0.0561523
202160_at	1464.837	P	0.00195313
202161_at	392.5563	A	0.067627
202162_s_at	578.5237	P	0.00805664
202163_s_at	675.2088	P	0.00805664
202164_s_at	993.9104	P	0.000244141
202165_at	1737.533	P	0.000732422
202166_s_at	6795.766	P	0.000244141
202167_s_at	676.7061	P	0.00585938
202168_at	10269.52	P	0.000244141
202169_s_at	9074.116	P	0.000244141
202170_s_at	3390.577	P	0.000244141
202171_at	1444.428	P	0.000244141
202172_at	607.2023	P	0.000732422
202173_s_at	833.8434	P	0.000244141
202174_s_at	2065.601	P	0.000244141
202175_at	877.3563	P	0.0375977
202176_at	637.1439	P	0.0141602
202177_at	649.5642	M	0.0561523
202178_at	563.5503	A	0.19458
202179_at	953.1429	P	0.00195313
202180_s_at	952.0764	P	0.00292969
202181_at	1778.108	P	0.000244141
202182_at	747.9465	P	0.000732422
202183_s_at	409.2587	P	0.0185547
202184_s_at	1182.505	P	0.0141602
202185_at	1689.042	P	0.000244141
202186_x_at	12.77212	A	0.665527
202187_s_at	919.515	P	0.0461426
202188_at	344.7097	P	0.0012207
202189_x_at	6200.508	P	0.00292969
202190_at	482.2704	A	0.067627
202191_s_at	53.07296	A	0.366211
202192_s_at	394.1458	A	0.129639
202193_at	300.4651	P	0.0185547
202194_at	14749.13	P	0.000244141
202195_s_at	2573.882	P	0.000244141
202196_s_at	65.46005	P	0.0302734
202197_at	746.5647	P	0.0185547
202198_s_at	73.23057	A	0.171387
202199_s_at	497.784	P	0.00292969
202200_s_at	2335.765	P	0.000244141
202201_at	713.2255	P	0.00292969
202202_s_at	18.11207	A	0.919434
202203_s_at	256.5286	P	0.0141602
202204_s_at	320.6057	A	0.1767578
202205_at	579.3978	P	0.00415039
202206_at	193.1395	A	0.366211
202207_at	198.5807	P	0.0239258
202208_s_at	109.7582	A	0.366211
202209_at	2225.757	P	0.000244141
202210_x_at	317.2386	A	0.0805664
202211_at	6335.967	P	0.000244141
202212_at	860.7117	P	0.00415039
202213_s_at	716.7334	P	0.000244141
202214_s_at	2120.424	P	0.0141602
202215_s_at	939.9402	P	0.000244141
202216_x_at	651.5316	P	0.0012207
202217_at	2505.162	P	0.00292969
202218_s_at	55.26761	A	0.466064
202219_at	113.3354	A	0.432373
202220_at	3159.614	P	0.000244141
202221_s_at	382.6086	P	0.000244141
202222_s_at	51.47819	A	0.219482
202223_at	2735.239	P	0.000732422
202224_at	767.2593	P	0.000244141
202225_at	1735.25	P	0.0012207
202226_s_at	392.1821	M	0.0561523
202227_s_at	3281.624	P	0.000244141
202228_s_at	5414.005	P	0.000244141
202229_s_at	255.1995	A	0.366211
202230_s_at	2957.572	P	0.000244141
202231_at	15870.41	P	0.000732422
202232_s_at	8464.641	P	0.000244141
202233_s_at	9316.165	P	0.000244141
202234_s_at	381.3101	P	0.000244141
202235_at	173.347	A	0.19458
202236_s_at	475.26	P	0.000244141
202237_at	19.35849	A	0.533936
202238_s_at	32.27196	A	0.753906
202239_at	2123.923	P	0.00292969
202240_at	81.67903	A	0.246094
202241_at	44068.03	P	0.000244141
202242_at	163.4137	A	0.19458
202243_s_at	11089.82	P	0.000244141
202244_at	16829.27	P	0.000244141
202245_at	1303.977	P	0.00585938
202246_s_at	2263.117	P	0.000732422
202247_s_at	195.1159	P	0.0012207
202248_at	242.4253	A	0.334473
202249_s_at	638.3325	P	0.0012207
202250_s_at	490.7014	P	0.000732422
202251_at	607.4914	P	0.000244141
202252_at	3197.167	P	0.00195313
202253_s_at	580.3962	P	0.0375977
202254_at	102.6004	A	0.0952148
202255_s_at	471.0459	A	0.0952148
202256_at	399.9379	P	0.0107422
202257_s_at	954.5666	P	0.0107422
202258_s_at	5133.065	P	0.000732422
202259_s_at	2279.514	P	0.000244141
202260_s_at	62.5466	A	0.5
202261_at	1511.04	P	0.000732422
202262_x_at	604.1393	A	0.246094
202263_at	2343.042	P	0.00292969
202264_s_at	726.5081	P	0.00195313
202265_at	24618.19	P	0.000244141
202266_at	4880.624	P	0.000244141
202267_at	30.8418	A	0.601074
202268_s_at	4115.888	P	0.000244141
202269_x_at	853.7302	P	0.000244141
202270_at	1268.572	P	0.000244141
202271_at	1767.651	P	0.000244141
202272_s_at	1404.815	P	0.000244141
202273_at	78.12572	P	0.0375977
202274_at	128.5427	A	0.1071777
202275_at	324.7162	A	0.19458
202276_at	2304.862	P	0.000244141
202277_at	10159.99	P	0.000244141
202278_s_at	760.7019	P	0.0185547
202279_at	1598.669	P	0.000244141
202280_at	7.771035	A	0.870361
202281_at	781.516	P	0.0375977
202282_at	2092.575	P	0.000244141
202283_at	13.2031	A	0.601074
202284_s_at	6992.42	P	0.000244141
202285_s_at	43.30772	A	0.398926
202286_s_at	11.33741	A	0.633789
202287_s_at	58.22419	A	0.432373
202288_at	263.7407	P	0.0461426
202289_s_at	45.99087	A	0.366211
202290_at	1037.934	P	0.0012207
202291_s_at	16.46407	A	0.780518
202292_x_at	1275.298	P	0.0239258
202293_at	1536.689	P	0.00292969
202294_at	2237.65	P	0.000244141
202295_s_at	273.9325	A	0.19458
202296_s_at	3359.748	P	0.000244141
202297_s_at	4761.013	P	0.000732422
202298_at	7249.458	P	0.000244141
202299_s_at	6706.393	P	0.000732422
202300_at	4173.246	P	0.000732422
202301_s_at	1542.811	P	0.000244141
202302_s_at	7055.884	P	0.000244141
202303_x_at	1803.846	P	0.000732422
202304_at	11340.43	P	0.000244141
202305_s_at	583.4059	P	0.0141602
202306_at	2503.12	P	0.00585938
202307_s_at	5765.722	P	0.0012207
202308_at	33.36591	A	0.665527
202309_at	2433.999	P	0.000244141
202310_s_at	253.8095	A	0.3254395
202311_s_at	36.28377	A	0.5
202312_s_at	148.3897	A	0.149658
202313_at	2509.555	P	0.000244141
202314_at	1605.335	P	0.000244141
202315_s_at	1219.658	P	0.000244141
202316_x_at	26.5869	A	0.567627
202317_s_at	1378.329	P	0.000244141
202318_s_at	2701.999	P	0.000244141
202319_at	633.8343	P	0.000244141
202320_at	384.7173	P	0.0302734
202321_at	522.129	P	0.000244141
202322_s_at	868.6917	P	0.000244141
202323_s_at	1964.681	P	0.000244141
202324_s_at	4217.264	P	0.000244141
202325_s_at	14799.8	P	0.000244141
202326_at	193.681	P	0.0239258
202327_s_at	261.714	A	0.219482
202328_s_at	142.0572	A	0.246094
202329_at	4288.643	P	0.000244141
202330_s_at	837.1923	P	0.000244141
202331_at	1515.033	P	0.000244141
202332_at	557.0505	P	0.0239258
202333_s_at	5975.762	P	0.000244141
202334_s_at	2988.888	P	0.000244141
202335_s_at	132.9097	P	0.00805664
202336_s_at	9935.928	P	0.000244141
202337_at	1656.64	P	0.000732422
202338_at	281.8743	A	0.067627
202339_at	193.5573	P	0.0239258
202340_x_at	345.8884	A	0.0952148
202341_s_at	159.0125	A	0.334473
202342_s_at	115.7321	M	0.0561523
202343_x_at	3979.5	P	0.000732422
202344_at	212.9174	A	0.334473
202345_s_at	402.5574	P	0.0375977
202346_at	1835.862	P	0.000732422
202347_s_at	2110.109	P	0.000732422
202348_s_at	3352.826	P	0.000244141
202349_at	2256.014	P	0.00415039
202350_s_at	6.877891	A	0.72583
202351_at	1813.036	P	0.000244141
202352_s_at	2900.617	P	0.000244141
202353_s_at	655.3858	P	0.000244141
202354_s_at	811.2993	P	0.00292969
202355_s_at	1425.02	P	0.0012207
202356_s_at	934.2197	P	0.000244141
202357_s_at	86.31091	A	0.466064
202358_s_at	1144.185	P	0.00585938
202359_s_at	1053.007	P	0.000732422
202360_at	1373.59	P	0.0107422
202361_at	1638.377	P	0.000244141
202362_at	4215.238	P	0.000732422
202363_at	32.92674	A	0.601074
202364_at	1632.108	P	0.000244141
202365_at	1238.168	P	0.00195313
202366_at	24.70717	A	0.696289
202367_at	974.6467	P	0.0012207
202368_s_at	1601.523	P	0.000244141
202369_s_at	5100.931	P	0.000244141
202370_s_at	3768.255	P	0.000244141
202371_at	3668.594	P	0.000244141
202372_at	1629.038	P	0.00195313
202373_s_at	1648.516	P	0.00415039
202374_s_at	615.9244	P	0.0239258
202375_at	2070.825	P	0.000244141
202376_at	16.01849	A	0.870361
202377_at	3183.083	P	0.000244141
202378_s_at	2925.815	P	0.000244141
202379_s_at	3288.462	P	0.00195313
202380_s_at	941.6703	P	0.00195313
202381_at	513.9005	P	0.000732422
202382_s_at	1212.459	P	0.000732422
202383_at	324.6665	A	0.149658
202384_s_at	614.8251	P	0.000732422
202385_s_at	482.0836	A	0.111572
202386_s_at	1563.826	P	0.000244141
202387_at	2471.093	P	0.000732422
202388_at	49147.93	P	0.000244141
202389_s_at	316.5118	A	0.219482
202390_s_at	23.54647	A	0.432373
202391_at	8226.347	P	0.000244141
202392_s_at	207.8786	P	0.0375977
202393_s_at	4533.08	P	0.000244141
202394_s_at	517.2671	P	0.00805664
202395_at	4383.853	P	0.00415039
202396_at	4118.678	P	0.000244141
202397_at	910.2776	P	0.000244141
202398_at	197.4912	P	0.00805664
202399_s_at	2663.747	P	0.000732422
202400_s_at	144.5272	A	0.1655273
202401_s_at	320.5993	P	0.0012207
202402_s_at	757.8328	P	0.000732422
202403_s_at	201.4715	P	0.0239258
202404_s_at	78.05559	A	0.466064
202405_at	495.1828	P	0.000732422
202406_s_at	2668.084	P	0.000244141
202407_s_at	535.4568	P	0.0107422
202408_s_at	1745.945	P	0.000244141
202409_at	151.9988	A	0.149658
202410_x_at	10.03127	A	0.976074
202411_at	16348.28	P	0.000244141
202412_s_at	2086.395	P	0.0239258
202413_s_at	2986.963	P	0.000244141
202414_at	1322.696	P	0.00195313
202415_s_at	263.8081	A	0.149658
202416_at	1323.177	P	0.000244141
202417_at	1299.299	P	0.000732422
202418_at	4213.862	P	0.00195313
202419_at	1340.424	P	0.000244141
202420_s_at	1370.497	P	0.000244141
202421_at	98.01455	A	0.171387
202422_s_at	474.6743	P	0.000244141
202423_at	1522.618	P	0.000244141
202424_at	1771.646	P	0.000244141
202425_x_at	2077.962	P	0.00585938
202426_s_at	322.7423	P	0.00292969
202427_s_at	2301.644	P	0.00292969
202428_x_at	6943.165	P	0.000732422
202429_s_at	2776.5	P	0.000244141
202430_s_at	7492.842	P	0.000244141
202431_s_at	2276.471	P	0.0107422
202432_at	3603.755	P	0.000244141
202433_at	3419.867	P	0.000244141
202434_s_at	6.799381	A	0.981445
202435_s_at	15.94888	A	0.601074
202436_s_at	44.11776	A	0.303711
202437_s_at	105.4188	P	0.00415039
202438_x_at	732.2148	P	0.000244141
202439_s_at	2081.019	P	0.000732422
202440_s_at	200.4216	A	0.19458
202441_at	1097.324	P	0.00415039
202442_at	13793.17	P	0.000244141
202443_x_at	2054.136	P	0.000244141
202444_s_at	198.4272	P	0.04492188
202445_s_at	198.6744	P	0.04394531
202446_s_at	9740.977	P	0.000244141
202447_at	2876.587	P	0.000244141
202448_s_at	147.1909	A	0.149658
202449_s_at	539.0447	P	0.0185547
202450_s_at	171.333	P	0.0141602
202451_at	1540.722	P	0.000244141
202452_at	418.2698	A	0.334473
202453_s_at	990.5303	P	0.000244141
202454_s_at	79.88017	A	0.0805664
202455_at	615.0273	A	0.0805664
202456_s_at	240.4955	A	0.067627
202457_s_at	1985.833	P	0.000244141
202458_at	90.9381	A	0.5
202459_s_at	215.5706	P	0.0302734
202460_s_at	653.9495	P	0.00585938
202461_at	1750.489	P	0.000244141
202462_s_at	4709.117	P	0.00292969
202463_s_at	373.5728	A	0.129639
202464_s_at	145.1171	P	0.0461426
202465_at	10.09716	A	0.919434
202466_at	2794.989	P	0.000732422
202467_s_at	9660.723	P	0.000244141
202468_s_at	738.8177	P	0.00292969
202469_s_at	3100.231	P	0.000732422
202470_s_at	285.1537	P	0.00415039
202471_s_at	2901.38	P	0.000244141
202472_at	363.3481	P	0.00415039
202473_x_at	44.781	A	0.601074
202474_s_at	1147.811	P	0.0239258
202475_at	3776.604	P	0.000732422
202476_s_at	342.912	A	0.067627
202477_s_at	887.7849	P	0.0239258
202478_at	333.044	P	0.00585938
202479_s_at	179.4079	P	0.0302734
202480_s_at	235.3597	P	0.0012207
202481_at	19.22706	A	0.919434
202482_x_at	28.64416	A	0.953857
202483_s_at	1798.699	P	0.00195313
202484_s_at	8635.953	P	0.000244141
202485_s_at	120.0509	A	0.533936
202486_at	599.4041	P	0.0185547
202487_s_at	3171.323	P	0.00292969
202488_s_at	270.7443	P	0.0375977
202489_s_at	28.29356	A	0.753906
202490_at	80.12142	A	0.171387
202491_s_at	4306.014	P	0.000244141
202492_at	274.1487	P	0.00415039
202493_x_at	19.69269	A	0.601074
202494_at	701.278	P	0.00415039
202495_at	1496.329	P	0.00292969
202496_at	428.6057	P	0.0375977
202497_x_at	30.04046	A	0.850342
202498_s_at	48.11421	A	0.3259277
202499_s_at	80.41171	A	0.0952148
202500_at	488.4173	P	0.000732422
202501_at	985.6996	P	0.0012207
202502_at	5003.336	P	0.000244141
202503_s_at	2902.453	P	0.000244141
202504_at	182.0012	A	0.366211
202505_at	5737.029	P	0.000244141
202506_at	936.2687	P	0.000244141
202507_s_at	185.9724	A	0.149658
202508_s_at	21.04325	A	0.72583
202509_s_at	85.16611	A	0.219482
202510_s_at	90.02166	A	0.432373
202511_s_at	3195.874	P	0.000244141
202512_s_at	895.4481	P	0.00415039
202513_s_at	597.8692	P	0.0107422
202514_at	1013.032	P	0.000244141
202515_at	2787.695	P	0.000244141
202516_s_at	348.2024	P	0.00195313
202517_at	53.46408	A	0.753906
202518_at	676.567	P	0.00585938
202519_at	1303.989	P	0.00292969
202520_s_at	3761.367	P	0.000244141
202521_at	2926.189	P	0.000244141
202522_at	4501.803	P	0.000732422
202523_s_at	257.9618	A	0.334473
202524_s_at	788.6846	P	0.00805664
202525_at	14.97419	A	0.850342
202526_at	101.9857	P	0.0185547
202527_s_at	904.4312	P	0.000244141
202528_at	15.05418	A	0.533936
202529_at	2077.408	P	0.000244141
202530_at	1062.579	P	0.000244141
202531_at	2132.256	P	0.000732422
202532_s_at	973.1541	P	0.000732422
202533_s_at	469.9833	P	0.00195313
202534_x_at	1673.676	P	0.000732422
202535_at	584.4404	P	0.000732422
202536_at	1735.271	P	0.000244141
202537_s_at	1607.027	P	0.000244141
202538_s_at	1588.564	P	0.000732422
202539_s_at	1041.101	P	0.000732422
202540_s_at	1126.875	P	0.000244141
202541_at	1428.591	P	0.000244141
202542_s_at	5196.787	P	0.000244141
202543_s_at	877.5441	P	0.000244141
202544_at	2185.17	P	0.00415039
202545_at	2161.534	P	0.000244141
202546_at	3714.651	P	0.000244141
202547_s_at	350.8761	P	0.00585938
202548_s_at	864.3573	P	0.0012207
202549_at	12.85088	A	0.780518
202550_s_at	975.6178	P	0.000732422
202551_s_at	502.0851	P	0.0107422
202552_s_at	497.907	P	0.000244141
